,Fiction,Romance,Fantasy,Young Adult,Nonfiction,Contemporary,Historical Historical Fiction,Mystery,Fantasy Paranormal,Classics
Fiction,0,4751,6923,5091,0,3444,5018,4521,1284,3911
Romance,4751,0,3867,3648,44,4115,1632,1015,2993,323
Fantasy,6923,3867,0,4969,0,268,1001,911,3773,660
Young Adult,5091,3648,4969,0,0,1974,1016,1055,1918,350
Nonfiction,0,44,0,0,0,52,0,44,34,537
Contemporary,3444,4115,268,1974,52,0,209,730,145,98
Historical Historical Fiction,5018,1632,1001,1016,0,209,0,798,180,949
Mystery,4521,1015,911,1055,44,730,798,0,577,344
Fantasy Paranormal,1284,2993,3773,1918,34,145,180,577,0,14
Classics,3911,323,660,350,537,98,949,344,14,0
