user_id,book_id
1,54442990
3,40961427
4,54442991
5,19087989
6,33
7,54442992
8,15730101
9,9965332
10,11825646
11,1111741
12,22323659
16,830502
17,11825646
18,54442994
19,44767458
20,54442995
21,33
22,17245
23,54442996
26,315234
27,54442997
28,969275
29,33
30,54442998
31,54442999
32,54443000
33,54443001
34,11588
35,54443002
36,13154150
38,54443003
40,400924
41,54443004
42,54443005
43,54443006
44,596834
45,6536261
46,54443007
47,54443008
48,54443009
49,54443010
50,54443011
52,54443012
53,54443013
54,54443014
55,54443015
56,18674889
57,5297
58,54443069
59,32620332
60,11825646
61,23692271
62,2880
63,77998
64,18667307
65,23395680
68,10818853
69,54443016
70,54443017
71,54443018
1,11588
3,10210
4,54443019
5,54443020
6,113436
7,54443021
8,6351885
9,17571528
10,54443022
11,11825646
12,12842828
14,969275
16,54443023
17,54443024
18,54443025
19,22323659
20,54443026
21,10
22,54479
23,54443027
26,54443028
28,969275
29,10
30,6043781
31,54443029
32,54443030
33,822185
34,54443031
36,283489
38,54443033
40,9814682
41,18116
42,6043781
43,4703450
44,40275288
47,113436
48,54443034
49,31862
50,54443035
51,6186357
52,44767458
53,36809135
54,10433091
55,4904977
56,31079552
57,2099048
58,54443036
60,54443037
61,29044
62,191292
63,54443038
65,54443039
68,11870085
69,54443040
70,54443041
71,54443042
1,40961427
3,1151331
4,54443043
5,54443044
6,10
7,54443045
8,33
10,54443046
12,54443047
14,6186357
16,54443048
18,77998
20,40961427
21,54443049
22,33507
23,71299
27,54443050
28,54443051
30,32508
31,58962
32,54443052
33,54443053
34,7327301
35,54443054
36,54443055
38,54443056
41,54443057
42,33
44,54443058
48,54443059
50,54077
51,54443061
52,9814682
53,6185
54,10
55,688972
57,54443062
58,54443063
59,99561
60,23437156
61,54443064
62,54443065
63,2767052
64,13154150
65,11825646
68,54443066
69,54443067
70,22875082
71,54443068
