user_id,genre_id
2,31007
3,31007
6,31007
6,30986
7,30986
9,30986
10,31007
10,30986
11,30986
12,31007
12,30986
14,30986
15,30986
16,31007
17,31007
18,31007
19,31007
19,30986
20,30986
21,31007
22,30986
23,31007
25,30986
25,31365
26,31364
28,31007
29,30986
30,30986
32,30986
36,31007
37,30986
38,31007
38,30986
39,31007
40,30986
41,31007
41,30986
42,31007
42,30986
43,31007
43,30986
44,30986
45,31007
46,30986
47,31007
47,30986
48,31007
49,31007
51,31007
52,30986
54,31007
56,31007
60,31007
60,30986
64,30986
65,30986
66,30986
67,30986
69,30986
70,30986
