id_user,book_rank,book_id
1,1,54442990
2,1,107943
3,1,40961427
4,1,54442991
5,1,19087989
6,1,33
7,1,54442992
8,1,15730101
9,1,54442993
10,1,11825646 
11,1,1111741
12,1,22323659
14,1,99742
16,1,830502
17,1,11825646
18,1,54442994
19,1,44767458
20,1,54442995
21,1,33
22,1,17245
23,1,54442996 
26,1,48855
27,1,54442997 
28,1,969275 
29,1,33 
30,1,54442998
31,1,54442999
32,1,54443000
33,1,54443001
34,1,11588
35,1,54443002
36,1,13154150
38,1,54443003
40,1,400924
41,1,54443004 
42,1,54443005
43,1,54443006 
44,1,7190
45,1,837039
46,1,54443007
47,1,54443008
48,1,54443009
49,1,54443010
50,1,54443011
51,1,20342214
52,1,54443012
53,1,54443013
54,1,54443014
55,1,54443015
56,1,102868
57,1,5297
58,1,54443069
59,1,33160963
60,1,11825646
61,1,23692271
62,1,2880
63,1,77998
64,1,18667307
65,1,23395680
68,1,10818853
69,1,54443016
70,1,54443017
71,1,54443018
1,2,11588
3,2,6147461
4,2,54443019
5,2,54443020
6,2,113436
7,2,54443021
8,2,6351885
9,2,1237398
10,2,54443022
11,2,11825646
12,2,12842828
14,2,969275
16,2,54443023
17,2,54443024
18,2,54443025
19,2,13228487
20,2,54443026
21,2,28757261
22,2,54479
23,2,54443027
26,2,54443028 
28,2,969275
29,2,28757261 
30,2,6043781
31,2,54443029
32,2,54443030
33,2,30186948
34,2,54443031
35,2,54443032
36,2,283489
38,2,54443033
40,2,13496
41,2,18116
42,2,6043781
43,2,4703450 
44,2,40275288
47,2,113436
48,2,54443034
49,2,159418
50,2,54443035
51,2,6186357
52,2,44767458
53,2,36809135
54,2,54443033
55,2,49552
56,2,31079552 
57,2,2099048 
58,2,54443036 
59,2,18144590
60,2,54443037
61,2,70897
62,2,157993 
63,2,54443038
64,2,54443032 
65,2,54443039
68,2,11870085
69,2,54443040
70,2,54443041
71,2,54443042
1,3,40961427
3,3,1151331
4,3,54443043
5,3,54443044
6,3,28757261
7,3,54443045
8,3,34
10,3,54443046
12,3,54443047
14,3,6186357 
16,3,54443048
18,3,77998
20,3,40961427
21,3,54443049
22,3,33507
23,3,71299
27,3,54443050 
28,3,54443051
30,3,32508
31,3,58962
32,3,54443052
33,3,54443053
34,3,7327301
35,3,54443054
36,3,54443055
38,3,54443056 
41,3,54443057
42,3,34
44,3,54443058
47,3,301058
48,3,54443059
49,3,797329
50,3,54077
51,3,54443061
52,3,13496
53,3,6185
54,3,28757261
55,3,22819788
57,3,54443062
58,3,54443063
59,3,99561
60,3,23437156
61,3,54443064
62,3,54443065 
63,3,2767052
64,3,13154150
65,3,11825646
68,3,54443066 
69,3,54443067
70,3,6528980
71,3,54443068
